vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
B858BGE,30625125,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/13/2020,"25.963230, -24.685354","25.963230, -24.685354",0,9:36:03,0:11,100,0,5,10,20,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,9:30:00,11,0,9,peak,B 858 BGE,Mini-bus
B858BGE,30625150,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/13/2020,"25.963232, -24.685406","25.963243, -24.685406",0,9:52:34,0:01,80,0,5,10,16,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,10:00:00,1,0,9,peak,B 858 BGE,Mini-bus
B315BJK,30625934,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.942642, -24.611593","25.848688, -24.621914",17.75,13:37:51,1:15,95,0,5,24,19,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,13:45:00,75,14.2,13,off peak,B 315 BJK,Mini-bus
B858BGE,30626833,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,1/5/2021,"26.163467, -24.371279","26.163515, -24.371212",1.26,13:31:40,0:18,85,0,5,10,17,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,13:30:00,18,4.2,13,off peak,B 858 BGE,Mini-bus
DK313,30457655,MAS001_Route_Test,Enumerator Test,Maseru_Association_Test,12/5/2020,"27.556671, -29.275076","27.556152, -29.274868",1.14,17:31:28,0:26,59.5,0,8.5,19,7,0,Maseru,MAS001,Route,Test,0,17:30:00,26,2.630769231,17,peak,DK 313,4+1
RR198,30465767,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.540045, -29.296227","27.540174, -29.296215",0.01,11:05:47,0:03,32,0,8,7,4,0,Maseru,MAS001,Route,Test,0,11:00:00,3,0.2,11,off peak,RR 198,4+1
RR198,30465785,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.540140, -29.296211","27.540140, -29.296211",0,11:13:34,0:03,32,0,8,8,4,0,Maseru,MAS001,Route,Test,0,11:15:00,3,0,11,off peak,RR 198,4+1
A32BBC,30465851,MAS001_Route_Test,Khauta Ramahlele,Maseru_Association_Test,12/8/2020,"27.540035, -29.296080","27.540037, -29.296082",0,12:29:59,0:02,16,0,8,4,2,0,Maseru,MAS001,Route,Test,0,12:30:00,2,0,12,off peak,A 32BBC,4+1
RD359,30465976,MAS001_Route_Test,Momojela  Bokhatse,Maseru_Association_Test,12/8/2020,"27.540150, -29.296144","27.540127, -29.296154",0,12:38:55,0:01,48,0,8,7,6,0,Maseru,MAS001,Route,Test,0,12:45:00,1,0,12,off peak,RD 359,4+1
RC454,30466088,MAS001_Route_Test,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.539988, -29.296204","27.539988, -29.296204",0,12:39:14,0:04,32,0,8,5,4,0,Maseru,MAS001,Route,Test,0,12:45:00,4,0,12,off peak,RC 454,4+1
RZ731,30466117,MAS001_Route_Test,Thato Sekeleme,Maseru_Association_Test,12/8/2020,"27.540682, -29.296373","27.540150, -29.296326",1.56,12:38:26,0:05,40,0,8,6,5,0,Maseru,MAS001,Route,Test,0,12:45:00,5,18.72,12,off peak,RZ 731,4+1
CP189,30466542,MAS001_Route_Test,Makarabelo Tsoene,Maseru_Association_Test,12/8/2020,"27.539864, -29.296232","27.540096, -29.296453",0.13,13:12:03,0:02,32,0,8,3,4,0,Maseru,MAS001,Route,Test,0,13:15:00,2,3.9,13,off peak,CP 189,4+1
CP189,30466613,MAS001_Route_Test,Makarabelo Tsoene,Maseru_Association_Test,12/8/2020,"27.540024, -29.296171","27.540024, -29.296171",0,13:18:24,0:02,40,0,8,3,5,0,Maseru,MAS001,Route,Test,0,13:15:00,2,0,13,off peak,CP 189,4+1
RC454,30466644,MAS001_Route_Test,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.540018, -29.296165","27.540012, -29.296175",0,13:23:36,0:01,40,0,8,5,5,0,Maseru,MAS001,Route,Test,0,13:30:00,1,0,13,off peak,RC 454,4+1
RC454,30466658,MAS001_Route_Test,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.539978, -29.296164","27.539978, -29.296164",0,13:26:54,0:02,40,0,8,5,5,0,Maseru,MAS001,Route,Test,0,13:30:00,2,0,13,off peak,RC 454,4+1
RC454,30466694,MAS001_Route_Test,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.540024, -29.296148","27.540024, -29.296148",0,13:30:42,0:01,3200,0,800,4,4,0,Maseru,MAS001,Route,Test,0,13:30:00,1,0,13,off peak,RC 454,4+1
A5647,30466708,MAS001_Route_Test,Enumerator Test,Maseru_Association_Test,12/8/2020,"27.540361, -29.296164","27.540146, -29.296198",0.02,13:34:21,0:00,0,0,0,1,0,0,Maseru,MAS001,Route,Test,0,13:30:00,0,0,13,off peak,A 5647,4+1
RC454,30466715,MAS001_Route_Test,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.540058, -29.296125","27.540064, -29.296125",0,13:34:03,0:01,32,0,8,4,4,0,Maseru,MAS001,Route,Test,0,13:30:00,1,0,13,off peak,RC 454,4+1
A56BBC,30466738,MAS001_Route_Test,Ntjelleng Mokhena,Maseru_Association_Test,12/8/2020,"27.537722, -29.291628","27.539799, -29.295597",0.49,13:35:31,0:02,24,0,8,6,3,0.44,Maseru,MAS001,Route,Test,0,13:30:00,2,14.7,13,off peak,A 56BBC,4+1
EJ676,30466809,MAS001_Route_Test,Matseliso Mosotho,Maseru_Association_Test,12/8/2020,"27.540154, -29.296215","27.540119, -29.296286",0.04,11:06:31,0:04,70,0,10,14,7,0,Maseru,MAS001,Route,Test,0,11:00:00,4,0.6,11,off peak,EJ 676,4+1
CP189,30466841,MAS001_Route_Test,Makarabelo Tsoene,Maseru_Association_Test,12/8/2020,"27.539890, -29.296471","27.539890, -29.296471",0,13:43:27,0:02,32,0,8,3,4,0,Maseru,MAS001,Route,Test,0,13:45:00,2,0,13,off peak,CP 189,4+1
RP216,30466858,MAS002_F_Maseru Town Center_Naleli,Khopotso Shoaepane,Maseru_Association_Test,12/8/2020,"27.540224, -29.296146","27.540028, -29.296227",0.08,13:44:04,0:02,24,0,8,4,3,0,Maseru,MAS002,F,Maseru Town Center,Naleli,13:45:00,2,2.4,13,off peak,RP 216,4+1
RR198,30466872,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.540171, -29.296207","27.540133, -29.296297",0.01,13:45:23,0:01,24,0,8,5,3,0,Maseru,MAS001,Route,Test,0,13:45:00,1,0.6,13,off peak,RR 198,4+1
EJ676,30466894,MAS001_Route_Test,Matseliso Mosotho,Maseru_Association_Test,12/8/2020,"27.540052, -29.296341","27.540293, -29.296013",0.1,13:45:05,0:03,24,0,8,4,3,0,Maseru,MAS001,Route,Test,0,13:45:00,3,2,13,off peak,EJ 676,4+1
RC454,30466907,MAS002_F_Maseru Town Center_Naleli,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.540031, -29.296204","27.540031, -29.296204",0,13:47:56,0:00,24,0,8,3,3,0,Maseru,MAS002,F,Maseru Town Center,Naleli,13:45:00,0,0,13,off peak,RC 454,4+1
A56BBC,30466920,MAS001_Route_Test,Ntjelleng Mokhena,Maseru_Association_Test,12/8/2020,"27.540379, -29.296268","27.540150, -29.296246",0.05,13:47:28,0:01,24,0,8,6,3,0,Maseru,MAS001,Route,Test,0,13:45:00,1,3,13,off peak,A 56BBC,4+1
AU781,30466938,MAS002_R_Maseru Town Center_Naleli,Mafusi Sakoane,Maseru_Association_Test,12/8/2020,"27.540123, -29.296217","27.540125, -29.296217",0,13:52:10,0:01,16,0,8,4,2,0,Maseru,MAS002,R,Maseru Town Center,Naleli,13:45:00,1,0,13,off peak,AU  781,4+1
RP216,30466956,MAS002_R_Maseru Town Center_Naleli,Khopotso Shoaepane,Maseru_Association_Test,12/8/2020,"27.539961, -29.296282","27.539715, -29.296490",0.11,13:52:21,0:01,16,0,8,4,2,0,Maseru,MAS002,R,Maseru Town Center,Naleli,13:45:00,1,6.6,13,off peak,RP 216,4+1
CP189,30467001,MAS001_F_Maseru Town Center_Khubetsoana,Makarabelo Tsoene,Maseru_Association_Test,12/8/2020,"27.540518, -29.296265","27.540062, -29.296171",0.05,13:56:38,0:42,8,0,8,2,1,0,Maseru,MAS001,F,Maseru Town Center,Khubetsoana,14:00:00,42,0.071428571,13,off peak,CP 189,4+1
A56BBC,30467010,MAS001_Route_Test,Ntjelleng Mokhena,Maseru_Association_Test,12/8/2020,"27.540329, -29.296274","27.540266, -29.296289",0.01,14:38:21,0:01,16,-1,8,5,2,0,Maseru,MAS001,Route,Test,0,14:45:00,1,0.6,14,off peak,A 56BBC,4+1
RR198,30467109,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.540049, -29.296217","27.540121, -29.296295",0.01,14:51:09,0:04,32,0,8,7,4,0,Maseru,MAS001,Route,Test,0,14:45:00,4,0.15,14,off peak,RR 198,4+1
RC454,30467154,MAS001_F_Maseru Town Center_Khubetsoana,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.539988, -29.296135","27.539988, -29.296135",0,15:01:43,0:00,32,0,8,4,4,0,Maseru,MAS001,F,Maseru Town Center,Khubetsoana,15:00:00,0,0,15,peak,RC 454,4+1
RK684,30467489,MAS001_Route_Test,Nthabeleng  Makhetha,Maseru_Association_Test,12/8/2020,"27.540091, -29.296297","27.539978, -29.296156",0.04,15:50:26,0:03,48,0,8,7,6,0,Maseru,MAS001,Route,Test,0,15:45:00,3,0.8,15,peak,RK 684,4+1
RR198,30467841,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.547499, -29.299242","27.547499, -29.299242",0,18:19:38,0:04,32,0,8,8,4,0,Maseru,MAS001,Route,Test,0,18:15:00,4,0,18,peak,RR 198,4+1
RR198,30467863,MAS001_Route_Test,Ntebeli  Maphalane,Maseru_Association_Test,12/8/2020,"27.547405, -29.299206","27.547375, -29.299255",0.03,18:35:47,0:04,32,0,8,5,4,0,Maseru,MAS001,Route,Test,0,18:30:00,4,0.45,18,peak,RR 198,4+1
RP216,30467956,MAS002_R_Maseru Town Center_Naleli,Khopotso Shoaepane,Maseru_Association_Test,12/8/2020,"27.528997, -29.291780","27.528133, -29.291920",0.3,19:04:20,0:10,48,0,8,8,6,0,Maseru,MAS002,R,Maseru Town Center,Naleli,19:00:00,10,1.8,19,peak,RP 216,4+1
AU781,30468955,MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.540092, -29.296236","27.540125, -29.296144",0.06,13:02:57,0:01,16,0,8,3,2,0,Maseru,MAS001,Route,Test,0,13:00:00,1,3.6,13,off peak,AU  781,4+1
AU781,30468965,MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.540169, -29.296234","27.540173, -29.296242",0,14:46:53,0:00,16,0,8,2,2,0,Maseru,MAS001,Route,Test,0,14:45:00,0,0,14,off peak,AU  781,4+1
AU781,30468982, 8220MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.541162, -29.295805","27.540489, -29.295984",0.13,13:45:59,0:01,16,0,8,3,2,0,Maseru, 8220MAS001,Route,Test,0,13:45:00,1,7.8,13,off peak,AU  781,4+1
AU781,30468995,MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.540079, -29.296169","27.540169, -29.296312",0.04,12:47:57,0:01,24,0,8,4,3,0,Maseru,MAS001,Route,Test,0,12:45:00,1,2.4,12,off peak,AU  781,4+1
AU781,30469007,MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.540138, -29.296181","27.540138, -29.296181",0,14:51:25,0:00,24,0,8,4,3,0,Maseru,MAS001,Route,Test,0,14:45:00,0,0,14,off peak,AU  781,4+1
AU781,30469036,MAS001_Route_Test,Moikabi  Moemane,Maseru_Association_Test,12/8/2020,"27.520782, -29.317726","27.520069, -29.317644",0.26,20:27:12,0:08,32,0,8,7,4,0,Maseru,MAS001,Route,Test,0,20:30:00,8,1.95,20,peak,AU  781,4+1
EJ676,30469087,MAS001_Route_Test,Matseliso Mosotho,Maseru_Association_Test,12/8/2020,"27.534334, -29.279259","27.534447, -29.279339",0.05,20:40:53,0:05,56,0,8,12,7,0,Maseru,MAS001,Route,Test,0,20:45:00,5,0.6,20,peak,EJ 676,4+1
EJ676,30469160,MAS001_Route_Test,Matseliso Mosotho,Maseru_Association_Test,12/8/2020,"27.534492, -29.279448","27.534479, -29.279354",0.03,20:55:36,0:03,40,-2,8,11,5,0,Maseru,MAS001,Route,Test,0,21:00:00,3,0.6,20,peak,EJ 676,4+1
RP216,30469249,MAS002_R_Maseru Town Center_Naleli,Khopotso Shoaepane,Maseru_Association_Test,12/8/2020,"27.529245, -29.291737","27.529264, -29.291656",0.15,21:07:03,0:02,21,0,"8.00, 5.00",7,3,0,Maseru,MAS002,R,Maseru Town Center,Naleli,21:00:00,2,4.5,21,peak,RP 216,4+1
A5647,30469370,MAS001_Route_Test,Mosoaboli Makhetha,Maseru_Association_Test,12/8/2020,"27.515236, -29.356760","27.515663, -29.356661",0.2,21:20:42,0:01,0,0,0,2,0,0,Maseru,MAS001,Route,Test,0,21:15:00,1,12,21,peak,A 5647,4+1
RZ731,30469468,MAS005_R_Maseru Town Center_Abia,Mpho  Mokitimi,Maseru_Association_Test,12/8/2020,"27.508610, -29.543888","27.508610, -29.543888",0,23:05:43,0:00,32,0,8,4,4,0,Maseru,MAS005,R,Maseru Town Center,Abia,23:00:00,0,0,23,peak,RZ 731,4+1
A5647,30469482,MAS001_Route_Test,Enumerator Test,Maseru_Association_Test,12/8/2020,"27.545816, -29.355175","27.545856, -29.355051",0.02,23:07:31,0:02,32,0,8,6,4,0,Maseru,MAS001,Route,Test,0,23:15:00,2,0.6,23,peak,A 5647,4+1
RH955,30469588,MAS001_R_Maseru Town Center_Khubetsoana,Manthona  Mohapi,Maseru_Association_Test,12/9/2020,"27.499907, -29.301229","27.499907, -29.301229",0,3:47:16,0:04,82.5,0,7.5,8,11,0,Maseru,MAS001,R,Maseru Town Center,Khubetsoana,3:45:00,4,0,3,peak,RH 955,4+1
RZ731,30469609,MAS010_F_Maseru Town Center_Main North 1,Mpho  Mokitimi,Maseru_Association_Test,12/9/2020,"27.508629, -29.543816","27.508644, -29.543797",0,4:10:59,0:01,40,0,8,5,5,0,Maseru,MAS010,F,Maseru Town Center,Main North 1,4:15:00,1,0,4,peak,RZ 731,4+1
A74BBC,30469671,MAS002_F_Maseru Town Center_Naleli,Reanetse Malefane,Maseru_Association_Test,12/9/2020,"27.719410, -29.455055","27.719412, -29.455059",0,5:50:57,0:02,32,-4,8,5,4,0,Maseru,MAS002,F,Maseru Town Center,Naleli,5:45:00,2,0,5,peak,A74BBC,4+1
A32BBC,30469686,MAS001_Route_Test,Mathato Molise,Maseru_Association_Test,12/9/2020,"27.492987, -29.313692","27.492987, -29.313692",0,5:56:13,0:02,16,0,8,4,2,0,Maseru,MAS001,Route,Test,0,6:00:00,2,0,5,peak,A 32BBC,4+1
RZ434,30469921,MAS009_F_Maseru Town Center_Thamae,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.508310, -29.333502","27.506710, -29.354364",6.03,5:59:58,0:17,32,0,8,6,4,0,Maseru,MAS009,F,Maseru Town Center,Thamae,6:00:00,17,21.28235294,5,peak,RZ 434,4+1
RY137,30469997,MAS007_F_Maseru Town Center_Pita,Thato Sekeleme,Maseru_Association_Test,12/9/2020,"27.508692, -29.334011","27.498907, -29.340366",1.33,6:16:41,0:03,8,0,8,2,1,0,Maseru,MAS007,F,Maseru Town Center,Pita,6:15:00,3,26.6,6,peak,RY 137,4+1
RZ434,30470220,MAS012_F_Maseru Town Center_Thetsane,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.499971, -29.358303","27.486822, -29.380875",7.05,6:19:32,0:11,32,0,8,4,4,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,6:15:00,11,38.45454545,6,peak,RZ 434,4+1
RZ731,30470334,MAS002_R_Maseru Town Center_Naleli,Mpho  Mokitimi,Maseru_Association_Test,12/9/2020,"27.490398, -29.312801","27.478819, -29.295412",3.34,6:25:54,0:05,32,0,8,3,4,0,Maseru,MAS002,R,Maseru Town Center,Naleli,6:30:00,5,40.08,6,peak,RZ 731,4+1
RK684,30470535,MAS004_F_Maseru Town Center_Motimposo,Ntebeli  Maphalane,Maseru_Association_Test,12/9/2020,"27.501400, -29.325394","27.531513, -29.325577",5.2,6:21:00,0:11,8,0,8,2,1,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,6:15:00,11,28.36363636,6,peak,RK 684,4+1
RY137,30470937,MAS007_F_Maseru Town Center_Pita,Thato Sekeleme,Maseru_Association_Test,12/9/2020,"27.501707, -29.341373","27.461651, -29.338221",5.74,6:23:29,0:15,24,0,6,4,4,0,Maseru,MAS007,F,Maseru Town Center,Pita,6:30:00,15,22.96,6,peak,RY 137,4+1
A5647,30471272,MAS010_F_Maseru Town Center_Main North 1,Tseliso Tjootji,Maseru_Association_Test,12/9/2020,"27.498713, -29.322746","27.456028, -29.346848",8.13,6:25:21,0:20,32,0,8,5,4,0.35,Maseru,MAS010,F,Maseru Town Center,Main North 1,6:30:00,20,24.39,6,peak,A 5647,4+1
RK684,30471508,MAS004_R_Maseru Town Center_Motimposo,Ntebeli  Maphalane,Maseru_Association_Test,12/9/2020,"27.531914, -29.324583","27.479296, -29.313164",6.46,6:35:44,0:13,32,0,8,6,4,0,Maseru,MAS004,R,Maseru Town Center,Motimposo,6:30:00,13,29.81538462,6,peak,RK 684,4+1
RY137,30471627,MAS012_F_Maseru Town Center_Thetsane,Thato Sekeleme,Maseru_Association_Test,12/9/2020,"27.482046, -29.340696","27.494995, -29.349733",3.11,6:43:48,0:06,8,0,8,2,1,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,6:45:00,6,31.1,6,peak,RY 137,4+1
A56BBC,30471758,MAS002_F_Maseru Town Center_Naleli,Thato Molapo,Maseru_Association_Test,12/9/2020,"27.498737, -29.309441","27.552591, -29.284321",8.11,6:36:48,0:13,24,0,8,5,3,0,Maseru,MAS002,F,Maseru Town Center,Naleli,6:30:00,13,37.43076923,6,peak,A 56BBC,4+1
RZ434,30472369,MAS012_R_Maseru Town Center_Thetsane,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.469707, -29.364370","27.503744, -29.328222",7.96,6:34:44,0:19,32,0,8,7,4,0,Maseru,MAS012,R,Maseru Town Center,Thetsane,6:30:00,19,25.13684211,6,peak,RZ 434,4+1
M6587,30472569,MAS008_F_Maseru Town Center_Leqele,Mojabeng Mabitle,Maseru_Association_Test,12/9/2020,"27.504856, -29.331093","27.548067, -29.353352",6.36,6:45:43,0:09,16,0,8,3,2,0,Maseru,MAS008,F,Maseru Town Center,Leqele,6:45:00,9,42.4,6,peak,M 6587,4+1
RY137,30472641,MAS007_R_Maseru Town Center_Pita,Thato Sekeleme,Maseru_Association_Test,12/9/2020,"27.504002, -29.356657","27.514797, -29.367310",1.77,6:53:52,0:02,16,0,8,2,2,0,Maseru,MAS007,R,Maseru Town Center,Pita,7:00:00,2,53.1,6,peak,RY 137,4+1
A74BBC,30472766,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,12/9/2020,"27.489279, -29.315281","27.474552, -29.327230",2.97,6:54:13,0:02,8,1,8,2,1,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,7:00:00,2,89.1,6,peak,A74BBC,4+1
RZ434,30472845,MAS009_F_Maseru Town Center_Thamae,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.500368, -29.324247","27.510345, -29.326527",1.97,6:55:40,0:04,8,-1,8,3,1,0,Maseru,MAS009,F,Maseru Town Center,Thamae,7:00:00,4,29.55,6,peak,RZ 434,4+1
RK684,30473622,MAS004_F_Maseru Town Center_Motimposo,Ntebeli  Maphalane,Maseru_Association_Test,12/9/2020,"27.499666, -29.315065","27.531481, -29.325588",4.85,6:54:19,0:08,8,0,8,2,1,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,7:00:00,8,36.375,6,peak,RK 684,4+1
A32BBC,30473929,MAS011_F_Maseru Town Center_Main South 1,Mathato Molise,Maseru_Association_Test,12/9/2020,"27.496859, -29.320114","27.544884, -29.365923",9.38,6:46:02,0:19,16,0,8,4,2,0,Maseru,MAS011,F,Maseru Town Center,Main South 1,6:45:00,19,29.62105263,6,peak,A 32BBC,4+1
RR198,30474599,MAS010_F_Maseru Town Center_Main North 1,Mafusi Sakoane,Maseru_Association_Test,12/9/2020,"27.515152, -29.305777","27.486570, -29.309185",21.8,6:27:30,0:40,56,0,8,13,7,0,Maseru,MAS010,F,Maseru Town Center,Main North 1,6:30:00,40,32.7,6,peak,RR 198,4+1
EJ676,30474746,MAS006_F_Maseru Town Center_Lithabaneng,Nthabeleng  Makhetha,Maseru_Association_Test,12/9/2020,"27.499332, -29.323298","27.518747, -29.348347",3.43,7:04:25,0:00,24,3,8,1,3,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,7:00:00,0,0,7,peak,EJ 676,4+1
A5647,30475038,MAS012_F_Maseru Town Center_Thetsane,Tseliso Tjootji,Maseru_Association_Test,12/9/2020,"27.452644, -29.348660","27.515320, -29.367702",8.64,6:52:03,0:20,32,0,8,7,4,0.51,Maseru,MAS012,F,Maseru Town Center,Thetsane,6:45:00,20,25.92,6,peak,A 5647,4+1
RP216,30475330,MAS010_F_Maseru Town Center_Main North 1,Nthabeleng  Fosa,Maseru_Association_Test,12/9/2020,"27.497564, -29.315569","27.572964, -29.267374",11.12,6:55:55,0:17,16,-2,8,4,2,0,Maseru,MAS010,F,Maseru Town Center,Main North 1,7:00:00,17,39.24705882,6,peak,RP 216,4+1
A74BBC,30475410,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,12/9/2020,"27.451050, -29.342489","27.440722, -29.337605",1.59,7:10:29,0:00,8,1,8,1,1,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,7:15:00,0,0,7,peak,A74BBC,4+1
RZ434,30475584,MAS006_F_Maseru Town Center_Lithabaneng,Lehlohonolo Tsuluba,Maseru_Association_Test,12/9/2020,"27.499632, -29.337175","27.499628, -29.337179",0,7:16:17,0:00,40,0,8,5,5,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,7:15:00,0,0,7,peak,RZ 434,4+1
EJ676,30475670,MAS006_F_Maseru Town Center_Lithabaneng,Nthabeleng  Makhetha,Maseru_Association_Test,12/9/2020,"27.535999, -29.368311","27.553141, -29.361891",1.96,7:13:19,0:04,72,0,8,8,9,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,7:15:00,4,29.4,7,peak,EJ 676,4+1
M6587,30476125,MAS008_R_Maseru Town Center_Leqele,Mojabeng Mabitle,Maseru_Association_Test,12/9/2020,"27.542347, -29.352089","27.488104, -29.310680",10.47,6:57:40,0:18,40,0,8,8,5,0,Maseru,MAS008,R,Maseru Town Center,Leqele,7:00:00,18,34.9,6,peak,M 6587,4+1
RZ434,30476180,MAS008_R_Maseru Town Center_Leqele,Lehlohonolo Tsuluba,Maseru_Association_Test,12/9/2020,"27.499638, -29.337111","27.499638, -29.337111",0,7:19:32,0:00,24,0,8,3,3,0,Maseru,MAS008,R,Maseru Town Center,Leqele,7:15:00,0,0,7,peak,RZ 434,4+1
RZ434,30476350,MAS009_R_Maseru Town Center_Thamae,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.509195, -29.326349","27.485363, -29.309767",4.66,7:01:33,0:10,30,0,"8.00, 6.00",7,4,0,Maseru,MAS009,R,Maseru Town Center,Thamae,7:00:00,10,27.96,7,peak,RZ 434,4+1
RY137,30476677,MAS007_R_Maseru Town Center_Pita,Thato Sekeleme,Maseru_Association_Test,12/9/2020,"27.511351, -29.364140","27.492714, -29.313787",7.39,6:58:34,0:23,32,0,8,6,4,0,Maseru,MAS007,R,Maseru Town Center,Pita,7:00:00,23,19.27826087,6,peak,RY 137,4+1
RZ434,30476842,MAS009_F_Maseru Town Center_Thamae,Mamahlabe Tsehlo,Maseru_Association_Test,12/9/2020,"27.487322, -29.313972","27.515423, -29.332001",4.72,7:13:06,0:08,16,0,8,3,2,0,Maseru,MAS009,F,Maseru Town Center,Thamae,7:15:00,8,35.4,7,peak,RZ 434,4+1
RZ731,30477608,MAS001_R_Maseru Town Center_Khubetsoana,Mpho  Mokitimi,Maseru_Association_Test,12/9/2020,"27.485226, -29.307419","27.467133, -29.304358",25.45,6:36:58,0:44,40,0,8,9,5,0,Maseru,MAS001,R,Maseru Town Center,Khubetsoana,6:30:00,44,34.70454545,6,peak,RZ 731,4+1
RR198,30477642,MAS001_R_Maseru Town Center_Khubetsoana,Mafusi Sakoane,Maseru_Association_Test,12/9/2020,"27.513159, -29.289824","27.512102, -29.287903",0.25,7:23:46,0:00,8,0,8,2,1,0,Maseru,MAS001,R,Maseru Town Center,Khubetsoana,7:30:00,0,0,7,peak,RR 198,4+1
A56BBC,30478062,MAS002_R_Maseru Town Center_Naleli,Thato Molapo,Maseru_Association_Test,12/9/2020,"27.547552, -29.283998","27.526289, -29.343573",12.54,6:52:04,0:32,200,0,100,2,2,0,Maseru,MAS002,R,Maseru Town Center,Naleli,6:45:00,32,23.5125,6,peak,A 56BBC,4+1
A74BBC,30478439,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,12/9/2020,"27.454273, -29.347141","27.457428, -29.356089",1.38,7:25:57,0:00,8,1,8,1,1,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,7:30:00,0,0,7,peak,A74BBC,4+1
EJ676,30478549,MAS006_F_Maseru Town Center_Lithabaneng,Nthabeleng  Makhetha,Maseru_Association_Test,12/9/2020,"27.534678, -29.349117","27.521759, -29.338747",2.61,7:23:38,0:00,32,4,8,1,4,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,7:30:00,0,0,7,peak,EJ 676,4+1
RK684,30478900,MAS004_F_Maseru Town Center_Motimposo,Ntebeli  Maphalane,Maseru_Association_Test,12/9/2020,"27.529322, -29.325380","27.483473, -29.313931",7.36,7:07:44,0:23,32,0,8,6,4,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,7:15:00,23,19.2,7,peak,RK 684,4+1
A74BBC,30479395,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,12/9/2020,"27.461651, -29.359154","27.459887, -29.368143",1.97,7:30:01,0:04,8,0,8,2,1,0,Maseru,MAS012,F,Maseru Town Center,Thetsane,7:30:00,4,29.55,7,peak,A74BBC,4+1
RZ731,30479597,MAS001_R_Maseru Town Center_Khubetsoana,Mpho  Mokitimi,Maseru_Association_Test,12/9/2020,"27.470575, -29.307377","27.511852, -29.287762",6.86,7:24:55,0:00,8,0,8,2,1,0,Maseru,MAS001,R,Maseru Town Center,Khubetsoana,7:30:00,0,0,7,peak,RZ 731,4+1
