vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
C9253,30497349,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.520666, -29.392427","27.483572, -29.314337",12.49,8:15:40,0:41,127.5,0,7.5,13,17,0,Maseru,MAS005,R,Maseru Town Center,Abia,8:15:00,41,18.27804878,8,peak,C9253,Mini-bus
M5384,30499503,MAS006_F_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.503424, -29.327477","27.556543, -29.377071",7.93,8:51:42,0:16,7.5,0,7.5,2,1,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,8:45:00,16,29.7375,8,peak,M5384,Mini-bus
C9253,30503586,MAS005_F_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.483568, -29.313677","27.520485, -29.391983",12.17,8:59:07,0:31,22.5,0,7.5,6,3,0,Maseru,MAS005,F,Maseru Town Center,Abia,9:00:00,31,23.55483871,8,peak,C9253,Mini-bus
M5384,30504098,MAS006_R_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.557226, -29.377617","27.506018, -29.330883",7.6,9:17:13,0:24,82.5,0,7.5,12,11,0,Maseru,MAS006,R,Maseru Town Center,Lithabaneng,9:15:00,24,19,9,peak,M5384,Mini-bus
M5384,30509170,MAS006_R_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.508768, -29.323608","27.492716, -29.312510",6.16,9:42:48,0:17,90,0,7.5,8,12,0,Maseru,MAS006,R,Maseru Town Center,Lithabaneng,9:45:00,17,21.74117647,9,peak,M5384,Mini-bus
C9253,30514448,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.531128, -29.376640","27.488165, -29.315596",9.31,10:07:40,0:27,60,0,7.5,10,8,0,Maseru,MAS005,R,Maseru Town Center,Abia,10:15:00,27,20.68888889,10,peak,C9253,Mini-bus
C9253,30524605,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.491953, -29.313343","27.520872, -29.392921",12.4,10:39:55,0:56,97.5,0,7.5,17,13,0,Maseru,MAS005,R,Maseru Town Center,Abia,10:45:00,56,13.28571429,10,peak,C9253,Mini-bus
ME087,30529487,MAS004_R_Maseru Town Center_Motimposo,Nthebe Tlali,Maseru_Association_Test,12/9/2020,"27.498701, -29.314104","27.524479, -29.319464",8,9:48:32,2:26,57.5,0,"7.00, 7.50",15,8,0,Maseru,MAS004,R,Maseru Town Center,Motimposo,9:45:00,146,3.287671233,9,peak,M E087,Mini-bus
ME087,30531784,MAS004_F_Maseru Town Center_Motimposo,Nthebe Tlali,Maseru_Association_Test,12/9/2020,"27.523712, -29.316669","27.498688, -29.314070",3.44,12:15:37,0:05,7.5,0,7.5,2,1,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,12:15:00,5,41.28,12,off peak,M E087,Mini-bus
C9253,30537876,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.522793, -29.392614","27.491631, -29.313211",12.83,12:00:34,0:51,97.5,0,7.5,12,13,0,Maseru,MAS005,R,Maseru Town Center,Abia,12:00:00,51,15.09411765,12,off peak,C9253,Mini-bus
C9253,30549708,MAS005_F_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.492432, -29.313606","27.520943, -29.392929",11.03,13:08:21,0:52,90,0,7.5,14,12,0,Maseru,MAS005,F,Maseru Town Center,Abia,13:15:00,52,12.72692308,13,off peak,C9253,Mini-bus
C9253,30562930,MAS005_F_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.491920, -29.313284","27.520901, -29.392994",13.75,14:58:21,0:52,112.5,-1,7.5,15,15,0,Maseru,MAS005,F,Maseru Town Center,Abia,15:00:00,52,15.86538462,14,off peak,C9253,Mini-bus
